,ds,yhat,yhat_lower,yhat_upper,y,y_orig
0,2015-12-31,0.9879736009852627,0.5421738468516459,1.7088093426668378,0.0,1.0
1,2016-01-31,24.07047015422299,13.57390347976752,42.79055961282481,2.9444389791664403,19.0
2,2016-03-31,14.058996132530396,8.158040521456883,26.074755822867218,3.4965075614664802,33.0
3,2016-04-30,30.908021988862586,17.57745390171591,53.619044937260405,3.7612001156935624,43.0
4,2016-05-31,32.89236701625984,18.631905149695406,60.69495623960289,3.6109179126442243,37.0
5,2016-06-30,20.79715122318871,11.479806191635683,37.15913213816915,3.091042453358316,22.0
6,2016-07-31,23.535629490675113,13.51472951604973,40.91988580084703,3.295836866004329,27.0
7,2016-08-31,40.2744402716577,22.779032046248545,73.71015281931226,3.5263605246161616,34.0
8,2017-01-31,3.3536802758318394,1.8846491647756265,5.797744029579218,0.6931471805599453,2.0
9,2017-03-31,14.949134231647497,8.255957500204891,27.15408367649767,1.0986122886681098,3.0
10,2017-04-30,19.41689101304834,10.98577538066057,33.92450597304981,2.4849066497880004,12.0
11,2017-05-31,26.82806972343952,14.880388494381092,48.295576841780424,3.258096538021482,26.0
12,2017-06-30,20.252263386072414,11.354887949836568,36.72482088814453,3.091042453358316,22.0
13,2017-07-31,11.062313591778672,6.422198326103396,19.77525253070732,2.302585092994046,10.0
14,2017-08-31,12.48914455224375,6.7395757943005306,22.32759045693594,2.995732273553991,20.0
15,2017-09-30,12.028820792267519,6.819517023786422,20.344782089787074,2.4849066497880004,12.0
16,2017-10-31,13.04283951730425,7.519272844187267,22.874455352816092,2.5649493574615367,13.0
17,2017-11-30,20.05576206210792,11.389123955638736,35.70384838463843,2.995732273553991,20.0
18,2017-12-31,4.055002813191572,2.3086791245011358,7.506010497005026,1.3862943611198906,4.0
19,2018-01-31,5.660050185567285,3.2147326105483764,9.824258429193712,2.4849066497880004,12.0
20,2018-02-28,16.043415168062698,8.811841645953255,29.535088713178137,2.772588722239781,16.0
21,2018-03-31,15.575356035767276,8.755034521111071,27.737064230437834,3.4965075614664802,33.0
22,2018-04-30,12.071478749245026,6.568543849334346,20.726313541373504,2.6390573296152584,14.0
23,2018-05-31,21.870210279807814,12.709880291208162,41.330915681889515,2.995732273553991,20.0
24,2018-06-30,19.61253601304004,10.42856025714651,33.59999752454301,2.833213344056216,17.0
25,2018-07-31,5.207505441286192,2.8614697335249075,9.243504159083361,1.6094379124341003,5.0
26,2018-08-31,4.074094067940594,2.3475944680322907,7.424295724059877,1.0986122886681098,3.0
27,2018-09-30,222.71126837043323,129.79262075525185,400.83686812941374,,
28,2018-10-31,14.020773213865194,7.767953677899856,25.098814998361078,,
29,2018-11-30,2.6973490127048674,1.5546138016082003,4.845939139155221,,
30,2018-12-31,1.6879419530970727,0.934619203328223,2.9647223572412047,,
31,2019-01-31,9.87287043888779,5.554345450253681,17.236183872637653,,
32,2019-02-28,31.587155413192097,17.958948633445,56.56555471507771,,
33,2019-03-31,15.89483008938003,8.805039102168557,28.036607440347925,,
34,2019-04-30,7.430212238008609,4.333839083547395,14.214368334780673,,
35,2019-05-31,17.823890908292583,9.802740021433625,32.26650932722812,,
36,2019-06-30,18.892480815248412,10.82433530382911,33.84047628836702,,
37,2019-07-31,2.457598152389211,1.4263775950664048,4.395627028760163,,
38,2019-08-31,1.3987996160207832,0.7878587780861253,2.3409426335118577,,
